id,display_name,works_api_url,h_index,works_count,country_code
A5078508030,Andrew Yale,https://api.openalex.org/works?filter=author.id:A5078508030,7,15,US
A5029567259,Michael S. North,https://api.openalex.org/works?filter=author.id:A5029567259,17,77,US
A5100334937,Hui Yang,https://api.openalex.org/works?filter=author.id:A5100334937,24,102,CN
A5018155177,Alex Chohlas-Wood,https://api.openalex.org/works?filter=author.id:A5018155177,6,14,US
A5079356706,David Hallac,https://api.openalex.org/works?filter=author.id:A5079356706,15,35,US
A5019027303,Xiangyang Lan,https://api.openalex.org/works?filter=author.id:A5019027303,6,10,US
A5037530222,Michael Jetter,https://api.openalex.org/works?filter=author.id:A5037530222,35,349,DE
A5025891034,Hongtao Lv,https://api.openalex.org/works?filter=author.id:A5025891034,9,43,CN
A5005703077,Dorota Marciniak,https://api.openalex.org/works?filter=author.id:A5005703077,5,16,PL
A5102994315,Xinyu Dai,https://api.openalex.org/works?filter=author.id:A5102994315,31,252,CN
A5059761735,Leo Roberts,https://api.openalex.org/works?filter=author.id:A5059761735,6,23,AU
A5064316283,Paul S. Muhle-Karbe,https://api.openalex.org/works?filter=author.id:A5064316283,13,32,GB
A5110721869,David S. Cannell,https://api.openalex.org/works?filter=author.id:A5110721869,54,165,US
A5088201078,Vincent Yzerbyt,https://api.openalex.org/works?filter=author.id:A5088201078,64,409,BE
A5050228339,Paul Resnick,https://api.openalex.org/works?filter=author.id:A5050228339,52,339,US
A5046597934,Lucien Heitz,https://api.openalex.org/works?filter=author.id:A5046597934,4,12,CH
A5011899466,Wendy L. Bennett,https://api.openalex.org/works?filter=author.id:A5011899466,36,278,US
A5019110555,Love Börjeson,https://api.openalex.org/works?filter=author.id:A5019110555,7,21,SE
A5013670125,David Lazer,https://api.openalex.org/works?filter=author.id:A5013670125,60,449,US
A5024529432,Sumiko R. Mekaru,https://api.openalex.org/works?filter=author.id:A5024529432,28,62,US
A5040031458,Elena Palomo,https://api.openalex.org/works?filter=author.id:A5040031458,9,20,ES
A5048158777,Jingyi Sun,https://api.openalex.org/works?filter=author.id:A5048158777,11,75,CN
A5100556691,Gongming Qian,https://api.openalex.org/works?filter=author.id:A5100556691,27,69,CN
A5047965231,Antonio Vetrò,https://api.openalex.org/works?filter=author.id:A5047965231,26,115,IT
A5054627290,Judith Degen,https://api.openalex.org/works?filter=author.id:A5054627290,23,68,US
A5057845767,Amanda Coston,https://api.openalex.org/works?filter=author.id:A5057845767,9,39,US
A5051354114,Tobias Kauer,https://api.openalex.org/works?filter=author.id:A5051354114,4,9,GB
A5043926363,Zhen Wen,https://api.openalex.org/works?filter=author.id:A5043926363,72,332,CN
A5109805326,Richard R. Nelson,https://api.openalex.org/works?filter=author.id:A5109805326,105,573,US
A5035975032,Ulrike Gretzel,https://api.openalex.org/works?filter=author.id:A5035975032,67,407,US
A5027662547,Luigi Pagliarini,https://api.openalex.org/works?filter=author.id:A5027662547,8,47,DK
A5040855918,Robert Kölbl,https://api.openalex.org/works?filter=author.id:A5040855918,7,23,AT
A5087366916,Rosalind W. Picard,https://api.openalex.org/works?filter=author.id:A5087366916,104,535,US
A5112901452,Kodavali V. Chowdari,https://api.openalex.org/works?filter=author.id:A5112901452,37,87,US
A5025956553,Nicole L. Washington,https://api.openalex.org/works?filter=author.id:A5025956553,41,136,US
A5100374113,Chen Zhang,https://api.openalex.org/works?filter=author.id:A5100374113,19,174,HK
A5062473026,Harold D. Green,https://api.openalex.org/works?filter=author.id:A5062473026,41,226,US
A5053480981,Göker Aydın,https://api.openalex.org/works?filter=author.id:A5053480981,18,35,US
A5068353454,Francesco Bullo,https://api.openalex.org/works?filter=author.id:A5068353454,77,704,US
A5010626848,Joshua T. Abbott,https://api.openalex.org/works?filter=author.id:A5010626848,14,29,AU
A5003220678,Mario V. Tomasello,https://api.openalex.org/works?filter=author.id:A5003220678,7,29,CH
A5077270335,Farshad Kooti,https://api.openalex.org/works?filter=author.id:A5077270335,14,35,US
A5051544089,Peter M. Landwehr,https://api.openalex.org/works?filter=author.id:A5051544089,7,13,US
A5101973735,Lichao Huang,https://api.openalex.org/works?filter=author.id:A5101973735,20,74,CN
A5034682188,Eduardo Graells-Garrido,https://api.openalex.org/works?filter=author.id:A5034682188,17,84,CL
A5055631608,Thomas H. Costello,https://api.openalex.org/works?filter=author.id:A5055631608,17,67,US
A5100358915,Siyu Wang,https://api.openalex.org/works?filter=author.id:A5100358915,16,108,CN
A5067080233,Guido Schäfer,https://api.openalex.org/works?filter=author.id:A5067080233,23,153,NL
A5064351041,Yanchang Li,https://api.openalex.org/works?filter=author.id:A5064351041,20,98,CN
A5000178593,Hongda Gao,https://api.openalex.org/works?filter=author.id:A5000178593,13,32,CN
A5048204767,Ghassen Jerfel,https://api.openalex.org/works?filter=author.id:A5048204767,12,26,US
A5060435251,Kamal El-Sheshai,https://api.openalex.org/works?filter=author.id:A5060435251,2,3,US
A5111373625,Keping Li,https://api.openalex.org/works?filter=author.id:A5111373625,31,294,CN
A5090616169,V. S. Chandrasekhar Pammi,https://api.openalex.org/works?filter=author.id:A5090616169,11,42,IN
A5060377481,Federico Bianchi,https://api.openalex.org/works?filter=author.id:A5060377481,34,311,IT
A5002919205,Rebecca Rose,https://api.openalex.org/works?filter=author.id:A5002919205,12,22,US
A5018037817,R. Alexander Bentley,https://api.openalex.org/works?filter=author.id:A5018037817,40,205,US
A5011174001,Thomas Cerqueus,https://api.openalex.org/works?filter=author.id:A5011174001,9,46,FR
A5108972921,Ryan Doherty,https://api.openalex.org/works?filter=author.id:A5108972921,8,20,US
A5065203625,Geoff Pleiss,https://api.openalex.org/works?filter=author.id:A5065203625,23,74,US
A5091101189,Tal Eyal,https://api.openalex.org/works?filter=author.id:A5091101189,19,47,IL
A5016710875,Gregory P. Strauss,https://api.openalex.org/works?filter=author.id:A5016710875,52,296,US
A5100346266,Yali Li,https://api.openalex.org/works?filter=author.id:A5100346266,24,227,CN
A5028571578,Kathy Hirsh‐Pasek,https://api.openalex.org/works?filter=author.id:A5028571578,75,370,US
A5010488057,Tonya Nguyen,https://api.openalex.org/works?filter=author.id:A5010488057,5,10,US
A5002561749,Eve Hoggan,https://api.openalex.org/works?filter=author.id:A5002561749,25,66,DK
A5060256587,Claudia Acciai,https://api.openalex.org/works?filter=author.id:A5060256587,4,14,DK
A5103248586,Stephen R. Clarke,https://api.openalex.org/works?filter=author.id:A5103248586,28,164,AU
A5000146150,Christopher D. Wirz,https://api.openalex.org/works?filter=author.id:A5000146150,14,39,US
A5108192750,Jason Omedes,https://api.openalex.org/works?filter=author.id:A5108192750,1,1,
A5111859740,Robert P. Abelson,https://api.openalex.org/works?filter=author.id:A5111859740,61,157,US
A5023381858,Edward Cutrell,https://api.openalex.org/works?filter=author.id:A5023381858,50,150,US
A5113794399,Adrien Verdelhan,https://api.openalex.org/works?filter=author.id:A5113794399,32,83,US
A5037142717,Cécile Aubron,https://api.openalex.org/works?filter=author.id:A5037142717,34,126,FR
A5034008095,Johann Schaible,https://api.openalex.org/works?filter=author.id:A5034008095,3,4,DE
A5111657041,Rosaria Conte,https://api.openalex.org/works?filter=author.id:A5111657041,37,220,IT
A5065920740,John Nerbonne,https://api.openalex.org/works?filter=author.id:A5065920740,36,315,NL
A5025289785,Shiguang Luo,https://api.openalex.org/works?filter=author.id:A5025289785,2,3,CN
A5000304096,David Butler,https://api.openalex.org/works?filter=author.id:A5000304096,24,173,GB
A5059283555,Deirdre Giesen,https://api.openalex.org/works?filter=author.id:A5059283555,6,31,NL
A5052522246,Zohreh Zarezadeh,https://api.openalex.org/works?filter=author.id:A5052522246,7,16,AU
A5068095381,Ines Schaurer,https://api.openalex.org/works?filter=author.id:A5068095381,6,25,DE
A5100336827,Jing Li,https://api.openalex.org/works?filter=author.id:A5100336827,71,1563,CN
A5042417097,Haoxiang Wang,https://api.openalex.org/works?filter=author.id:A5042417097,44,535,CN
A5001208552,Alana Firl,https://api.openalex.org/works?filter=author.id:A5001208552,12,24,US
A5013351206,Lesley J. Rogers,https://api.openalex.org/works?filter=author.id:A5013351206,72,347,AU
A5065080833,Willibald Ruch,https://api.openalex.org/works?filter=author.id:A5065080833,71,497,CH
A5089575055,Omar F. Zaidan,https://api.openalex.org/works?filter=author.id:A5089575055,16,26,GB
A5055037967,Jenna Wiens,https://api.openalex.org/works?filter=author.id:A5055037967,26,162,US
A5101773552,Thomas J. Smith,https://api.openalex.org/works?filter=author.id:A5101773552,44,305,US
A5014378225,Karlene Cousins,https://api.openalex.org/works?filter=author.id:A5014378225,13,32,US
A5087272960,Artem V. Kuklin,https://api.openalex.org/works?filter=author.id:A5087272960,22,115,SE
A5058626776,Heidi Wang,https://api.openalex.org/works?filter=author.id:A5058626776,1,1,US
A5111586036,Giusy Di Lorenzo,https://api.openalex.org/works?filter=author.id:A5111586036,18,40,IE
A5048964593,Huahua Huang,https://api.openalex.org/works?filter=author.id:A5048964593,22,55,CN
A5010833575,Jim Maddock,https://api.openalex.org/works?filter=author.id:A5010833575,4,6,US
A5037684756,Yi Ding,https://api.openalex.org/works?filter=author.id:A5037684756,14,75,CN
A5070281450,H. Petry,https://api.openalex.org/works?filter=author.id:A5070281450,1,1,US
A5113665305,Alex Hauptmann,https://api.openalex.org/works?filter=author.id:A5113665305,22,73,US
A5112815207,Andrew E. Reed,https://api.openalex.org/works?filter=author.id:A5112815207,12,21,US
A5038612232,Jessica Kasza,https://api.openalex.org/works?filter=author.id:A5038612232,37,223,AU
A5091142592,Michael Guerzhoy,https://api.openalex.org/works?filter=author.id:A5091142592,5,41,CA
A5062247330,Jian Pei,https://api.openalex.org/works?filter=author.id:A5062247330,94,763,US
A5041395656,Jianhui Hou,https://api.openalex.org/works?filter=author.id:A5041395656,140,620,CN
A5038535069,Mary K. Goldstein,https://api.openalex.org/works?filter=author.id:A5038535069,46,259,US
A5102705813,Yazhe Li,https://api.openalex.org/works?filter=author.id:A5102705813,11,33,CN
A5082347461,Anil Nerode,https://api.openalex.org/works?filter=author.id:A5082347461,37,323,US
A5020904621,Jesse Enlow,https://api.openalex.org/works?filter=author.id:A5020904621,9,19,US
A5031576431,Jonathan Chapman,https://api.openalex.org/works?filter=author.id:A5031576431,17,126,IT
A5039651585,Carter T. Butts,https://api.openalex.org/works?filter=author.id:A5039651585,47,315,US
A5047408004,Chaoming Song,https://api.openalex.org/works?filter=author.id:A5047408004,2,25,US
A5027068904,Julie Neilson,https://api.openalex.org/works?filter=author.id:A5027068904,8,17,GB
A5027729144,David Champredon,https://api.openalex.org/works?filter=author.id:A5027729144,16,74,CA
A5024790234,Ruthie Pliskin,https://api.openalex.org/works?filter=author.id:A5024790234,16,56,NL
A5005719404,Debsankha Manik,https://api.openalex.org/works?filter=author.id:A5005719404,7,20,DE
A5004383880,Stephan Wolff,https://api.openalex.org/works?filter=author.id:A5004383880,33,136,DE
A5090134782,Neil E. Grunberg,https://api.openalex.org/works?filter=author.id:A5090134782,48,313,US
A5060102759,Linus Bengtsson,https://api.openalex.org/works?filter=author.id:A5060102759,25,68,SE
A5012862025,Christopher J. Dy,https://api.openalex.org/works?filter=author.id:A5012862025,37,236,US
