document_id,title,rapporteurs,shadow_rapporteurs,summary_link
2022/0390(COD),Labelling of organic pet food,HÄUSLING Martin (Greens/EFA),"SCHMIEDTBAUER Simone (EPP), BIELOWSKI Theresa (S&D), VAUTMANS Hilde (Renew), FRAGKOS Emmanouil (ECR), HAZEKAMP Anja (The Left)",
2022/0210(COD),European environmental economic accounts: new modules,CANFIN Pascal (Renew),"MARTUSCIELLO Fulvio (EPP), JERKOVIĆ Romana (S&D), EICKHOUT Bas (Greens/EFA), VONDRA Alexandr (ECR), KOKKALIS Petros (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1711058
2022/0192(COD),Agricultural holdings: conversion of the Farm Accountancy Data Network into a Farm Sustainability Data Network,DECERLE Jérémy (Renew),"MOTREANU Dan-Ştefan (EPP), LAURETI Camilla (S&D), BITEAU Benoît (Greens/EFA), JURGIEL Krzysztof (ECR), KOKKALIS Petros (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1708456
2022/0196(COD),Sustainable use of plant protection products,WIENER Sarah (Greens/EFA),"BERNHUBER Alexander (EPP), ARENA Maria (S&D), HUITEMA Jan (Renew), VONDRA Alexandr (ECR), HAZEKAMP Anja (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1708667
2022/0089(COD),"Geographical Indications for wine, spirit drinks and agricultural products",DE CASTRO Paolo (S&D),"SANDER Anne (EPP), AMARO Álvaro (EPP), TOLLERET Irène (Renew), GRUFFAT Claude (Greens/EFA), AGUILAR Mazaly (ECR), LIZZI Elena (ID), RODRÍGUEZ PALOP Eugenia (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1699044
2022/0016(COD),"Equivalence of field inspections carried out and equivalence of seed produced: period of application; in Bolivia on cereal and oil and fibre plant seed-producing crops, and of cereal seed and oil and fibre plant seed",VRECIONOVÁ Veronika (ECR),"MATO Gabriel (EPP), MAESTRE Cristina (S&D), MÜLLER Ulrike (Renew), LEBRETON Gilles (ID), MACMANUS Chris (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1690792
2021/0366(COD),Deforestation Regulation,HANSEN Christophe (EPP),"BURKHARDT Delara (S&D), ŞTEFĂNUȚĂ Nicolae (Renew), TOUSSAINT Marie (Greens/EFA), ZALEWSKA Anna (ECR), KONEČNÁ Kateřina (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1683446
2021/0270(COD),Integrated farm statistics:  Union contribution under the 2021-2027 financial framework,TERRAS Riho (EPP),"DE CASTRO Paolo (S&D), HLAVÁČEK Martin (Renew), METZ Tilly (Greens/EFA), MACMANUS Chris (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1672140
2021/0201(COD),"Land use, land use change and forestry (LULUCF)",NIINISTÖ Ville (Greens/EFA),"MOTREANU Dan-Ştefan (EPP), BURKHARDT Delara (S&D), HOJSÍK Martin (Renew), ZALEWSKA Anna (ECR), HUHTASAARI Laura (ID), MESURE Marina (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1670145
2021/0055(COD),Official controls on animals and products of animal origin exported from third countries to the Union to ensure compliance with the prohibition of certain uses of antimicrobials,CANFIN Pascal (Renew),"MORTLER Marlene (EPP), SCHALDEMOSE Christel (S&D), WIŚNIEWSKA Jadwiga (ECR), DAVID Ivan (ID)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1653744
2021/0031(COD),Regional economic accounts for agriculture,KOKKALIS Petros (The Left),"BUDA Daniel (EPP), HRISTOV Ivo (S&D), TOLLERET Irène (Renew), BITEAU Benoît (Greens/EFA), VRECIONOVÁ Veronika (ECR), DAVID Ivan (ID)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1650711
2021/0019(COD),"Community plant variety rights: extension of the term for the species asparagus and the species groups flower bulbs, woody small fruits and woody ornamentals",RUISSEN Bert-Jan (ECR),"SCHREIJER-PIERIK Annie (EPP), OLEKAS Juozas (S&D), HUITEMA Jan (Renew), HÄUSLING Martin (Greens/EFA), BIZZOTTO Mara (ID)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1649220
2021/0020(COD),Statistics on agricultural input and output,KOKKALIS Petros (The Left),"ADEMOV Asim (EPP), CARVALHAIS Isabel (S&D), WIESNER Emma (Renew), BITEAU Benoît (Greens/EFA), VRECIONOVÁ Veronika (ECR), DAVID Ivan (ID)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1649159
2020/0054(COD),Specific measures to provide exceptional flexibility for the use of the European Structural and Investments Funds in response to the COVID-19 outbreak,OMARJEE Younous (GUE/NGL),,
2019/0254(COD),Transitional provisions for the support by the European Agricultural Fund for Rural Development (EAFRD) and by the European Agricultural Guarantee Fund (EAGF) in the year 2021,KATAINEN Elsi (Renew),"AMARO Álvaro (EPP), AGUILERA Clara (S&D), ROPĖ Bronis (Greens/EFA), AGUILAR Mazaly (ECR), DAVID Ivan (ID), KOKKALIS Petros (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1597424
2019/0253(COD),Financial discipline as from financial year 2021 and flexibility between pillars in respect of calendar year 2020,LINS Norbert (EPP),"KATAINEN Elsi (Renew), VRECIONOVÁ Veronika (ECR), DAVID Ivan (ID), KOKKALIS Petros (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1597429
2018/0218(COD),Common agricultural policy (CAP) 2021–2027,ANDRIEU Eric (S&D),"SANDER Anne (EPP), DECERLE Jérémy (Renew), BITEAU Benoît (Greens/EFA), ILČIĆ Ladislav (ECR), BIZZOTTO Mara (ID)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1536682
