document_id,title,rapporteurs,shadow_rapporteurs,summary_link
2018/0224(COD),Horizon Europe framework programme for research and innovation 2021–2027,NICA Dan (S&D),"EHLER Christian (EPP), DLABAJOVÁ Martina (Renew), NIINISTÖ Ville (Greens/EFA), TOŠENOVSKÝ Evžen (ECR), LIZZI Elena (ID)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1538138
2018/0225(CNS),Specific programme implementing Horizon Europe framework programme for research and innovation 2021–2027,EHLER Christian (PPE),"NICA Dan (S&D), MIHAYLOVA Iskra (Renew), NIINISTÖ Ville (Greens/EFA), TOŠENOVSKÝ Evžen (ECR), LIZZI Elena (ID)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1538150
2023/0088(NLE),EU/USA agreement for scientific and technological cooperation: extension,BUŞOI Cristian-Silviu (EPP),GÁLVEZ Lina (S&D),https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1739041
2023/0022(NLE),Geneva Act of the Lisbon Agreement on Appellations of Origin and Geographical Indications: accession of the European Union,WALSMANN Marion (EPP),,
2022/0372(NLE),Geneva Act of the Lisbon Agreement on Appellations of Origin and Geographical Indications: accession of the European Union,WALSMANN Marion (EPP),,
2022/0045(NLE),EU/Faroe Islands Agreement: participation of the Faroe Islands in Union programmes,EHLER Christian (EPP),,
2022/0033(NLE),Joint Undertakings under Horizon Europe: Chips Joint Undertaking,MAYDELL Eva (EPP),"GÁLVEZ Lina (S&D), IJABS Ivars (Renew), HAHN Henrike (Greens/EFA), NISSINEN Johan (ECR), BOTENGA Marc (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1692545
2021/0336(NLE),EC/Brazil Agreement for scientific and technological cooperation: renewal of the Agreement,BUŞOI Cristian-Silviu (EPP),"NIINISTÖ Ville (Greens/EFA), ROOS Robert (ECR)",
2021/0048(NLE),Joint Undertakings under Horizon Europe,CARVALHO Maria da Graça (EPP),"CUTAJAR Josianne (S&D), PEKKARINEN Mauri (Renew), VON CRAMON-TAUBADEL Viola (Greens/EFA), ROOS Robert (ECR), BORCHIA Paolo (ID), MATIAS Marisa (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1651807
2020/0141(NLE),Research Fund for Coal and Steel: research programme and multiannual technical guidelines,BUŞOI Cristian-Silviu (EPP),"SOLÉ Jordi (Greens/EFA), TOŠENOVSKÝ Evžen (ECR), TOVAGLIERI Isabella (ID)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1625141
2020/0016(NLE),EC/Ukraine Agreement on cooperation in science and technology: renewal of the Agreement,BUŞOI Cristian-Silviu (EPP),TOŠENOVSKÝ Evžen (ECR),https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1606751
2020/0015(NLE),EC/India Agreement for scientific and technological cooperation: renewal of the Agreement,BUŞOI Cristian-Silviu (EPP),TOBISZOWSKI Grzegorz (ECR),https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1606749
2018/0429(NLE),"EC/Korea Cooperation Ageeement on a Civil Global Navigation Satellite System (GNSS): accession of Bulgaria, Croatia and Romania to the EU. Protocol",BUŞOI Cristian-Silviu (EPP),,
