node,display_name,country,citations,first_publication,community
A5083866672,Jan E. Leighley,US,695,1992,17
A5018158882,Satish V. Ukkusuri,US,1366,2012,18
A5024842056,Yoshihide Sekimoto,JP,416,2016,18
A5039493399,Naoya Fujiwara,JP,330,2009,18
A5043621466,Kota Tsubouchi,JP,472,2016,18
A5075756309,Takahiro Yabe,US,863,2016,18
A5091634932,Takayuki Wada,JP,212,2020,18
A5010879920,Mattia Samory,IT,575,2017,6
A5011449176,Cliff Lampe,US,21183,2004,6
A5025436534,Hunter Charvat,US,180,2018,6
A5047699861,Jacob Eisenstein,DK,2723,2006,6
A5069919112,Eshwar Chandrasekharan,US,1114,2017,6
A5060339045,Benjamin Sugar,US,132,2021,6
A5102962995,Munmun De Choudhury,US,9767,2007,6
A5068986034,Christian Boylston,US,115,2021,6
A5089413311,Diyi Yang,US,7093,2013,8
A5004320483,Albert W. Wu,US,617,2000,30
A5015752834,Katharine E. Henry,US,172,2013,30
A5017344436,Bilge Mutlu,US,2026,2005,30
A5040808365,Anirudh Sridharan,IN,113,2022,30
A5055371276,Suchi Saria,US,284,2007,30
A5060905224,Rachel Kornfield,US,681,2013,30
A5077339225,Robert C. Linton,US,113,2022,30
A5079739837,Catherine Groh,US,113,2022,30
A5101508273,Xiaoshan Wang,DE,150,2016,30
A5015053453,Susan L. Cutter,US,121,2012,18
A5033107100,P. Suresh C. Rao,US,315,2017,18
A5035307290,Tom Paskhalis,IE,69,2023,17
A5004489992,Kevin Aslett,US,192,2020,17
A5089789371,Nicholas K. W. Jones,US,66,2022,18
A5111672074,Marta C. González,US,3591,2007,3
A5007730464,Paul Pronyk,SG,414,2006,19
A5036822409,Tony Barnett,GB,507,1994,19
A5101854616,Julia Kim,US,478,1997,19
A5113226133,Charlotte Watts,GB,414,2006,19
A5015279450,Kevin Fleming,US,198,1989,19
A5030997914,Carole Bandy,US,138,2010,19
A5047775140,Andrea Zambetti,US,138,2010,19
A5089111778,Matthew Kimble,US,187,2010,19
A5015016192,Denzel Woode,US,134,2017,19
A5030578153,J. Chance Miller,US,166,2017,19
A5041494411,Eugene Jang,US,264,2014,19
A5056405420,David P. Trofa,US,180,2017,19
A5072497003,J. Turner Vosseller,US,233,2014,19
A5076157118,Justin Greisberg,US,219,2014,19
A5048574875,Jonathan Ronen,DE,148,2016,17
A5082408253,Jennifer Larson,US,241,2016,17
A5001960715,Alison Singer,US,191,2019,18
A5012176291,Antonie Jetter,US,167,2020,18
A5050709026,Joshua Introne,US,342,2006,20
A5057944399,Payam Aminpour,US,321,2017,18
A5064047566,Robert Arlinghaus,DE,881,2009,18
A5103904513,Steven A. Gray,US,332,2017,18
A5026568539,Sherry Emery,US,1398,2012,30
A5028357047,Jidong Huang,US,568,2013,30
A5012517034,Yoni Karpfen,Unknown,93,2018,6
A5077969491,Judd Antin,Unknown,1261,2009,6
A5015770363,Kevin Munger,IT,659,2018,17
A5038833789,Julia Mendelsohn,US,190,2017,6
A5057120924,Jonathan Bassen,US,715,2015,6
A5076189854,Michael S. Bernstein,US,8376,2006,6
A5089313267,Ethan Fast,US,765,2010,6
A5100687676,Binbin Chen,CN,288,2016,6
A5062910836,Yulia Tsvetkov,US,2526,2013,8
A5087088138,Dan Jurafsky,US,11981,1999,12
A5001030322,Nejla Asimovic,US,64,2021,17
A5028813886,Jiawei Xue,US,103,2021,18
A5047703518,Qiyuan Pang,US,51,2022,18
A5074269040,Jianzhu Ma,CN,220,2018,18
A5081680496,Senwei Liang,US,51,2022,18
A5101948829,Nan Jiang,US,51,2022,18
A5007340041,Detlef Knauss,US,39,2022,6
A5037054163,Quan Ze Chen,US,549,2016,6
A5037569091,Amy X. Zhang,US,720,2013,6
A5026128402,Zituo Wang,US,26,2023,21
A5100736030,Dong-Gyu Kim,US,26,2023,21
A5089449170,Alice Qian Zhang,US,26,2023,6
A5102797041,Ruotong Wang,CN,417,2019,6
A5103025433,Nikhila Natarajan,US,26,2023,6
A5007160163,William Godel,US,71,2021,17
A5019904524,Nathaniel Persily,US,405,2008,17
A5057729251,Zeve Sanderson,US,71,2021,17
A5060147448,Carole Kennedy Chaney,US,164,1998,17
A5061494907,Jennifer R Willette,US,157,2000,17
A5007461556,Mark G. Core,US,546,2005,19
A5040712214,Melissa W. Dixon,Unknown,110,2006,19
A5056861677,James Belanich,US,330,2006,19
A5082080745,Eric Forbell,US,305,2006,19
A5087186667,H. Chad Lane,US,622,2005,19
A5101841548,John Hart,US,264,2006,19
A5104029524,Randall W. Hill,US,550,1997,19
A5002583268,Lisa Vera,US,412,2013,30
A5003148701,Ernst R. Berndt,US,316,1995,30
A5010621055,G. Caleb Alexander,US,101,2012,30
A5058147391,Julie M. Donohue,US,173,2008,30
A5012862025,Christopher J. Dy,US,66,2014,19
A5016971867,Kathleen N. Meyers,US,94,1997,19
A5084751534,Scott W. Wolfe,US,80,2014,19
A5101820563,Samuel A. Taylor,US,66,2014,19
A5008800167,Satoshi Ikemoto,US,92,2016,18
A5023558826,Yunchang Zhang,CN,55,2020,18
A5027163845,Cody Buntain,US,331,2016,17
A5005679010,Osman Mutlu,TR,179,2019,22
A5014581579,Ritesh Kumar,IN,1427,2019,22
A5015126986,Shyam Ratan,IN,39,2021,22
A5041253633,Ali Hürriyetoğlu,TR,210,2018,22
A5052957309,Farhana Ferdousi Liza,GB,39,2021,22
A5080592381,Erdem Yörük,GB,390,2008,22
A5017953005,Theresa Nguyen,US,125,2010,30
A5031008982,Jonah Meyerhoff,US,203,2021,30
A5035015117,Madhu Reddy,US,1428,2002,30
A5051245888,David C. Mohr,US,6698,1990,30
A5071429578,Kaylee Payne Kruzan,US,124,2021,30
A5022089542,Seth Frey,US,135,2013,6
A5058656783,Ananya Bhattacharjee,CA,55,2022,30
A5058862746,Alex Mariakakis,CA,33,2022,30
A5059798408,Harsh Kumar,CA,33,2023,30
A5069476228,Joseph Jay Williams,CA,3043,2009,30
A5041492481,Patrick Y. Wu,US,15,2023,17
A5069884896,Solomon Messing,US,2615,2010,17
A5031739800,Shaun Bowler,US,114,2000,17
A5014296059,Giuseppe M. L. Sarné,IT,1154,2004,14
