document_id,title,rapporteurs,shadow_rapporteurs,summary_link
2021/0206(COD),Social Climate Fund,"CASA David (EPP), DE LANGE Esther (EPP)","VITANOV Petar (S&D), DOBREV Klára (S&D), KNOTEK Ondřej (Renew), VEDRENNE Marie-Pierre (Renew), LANGENSIEPEN Katrin (Greens/EFA), MATTHIEU Sara (Greens/EFA), SLABAKOV Andrey (ECR), SZYDŁO Beata (ECR), MÉLIN Joëlle (ID), BILDE Dominique (ID), CHAIBI Leila (The Left), KOKKALIS Petros (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1670227
2020/0360(COD),Trans-European energy infrastructure,KRASNODĘBSKI Zdzisław (ECR),"BERGKVIST Erik (S&D), GAMON Claudia (Renew), BORCHIA Paolo (ID), PEREIRA Sandra (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1643942
2020/0036(COD),European Climate Law,GUTELAND Jytte (S&D),"TORVALDS Nils (Renew), LIMMER Sylvia (ID)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1611082
2018/0228(COD),Connecting Europe facility 2021–2027,"MARINESCU Marian-Jean (EPP), VIRKKUNEN Henna (EPP), RIQUET Dominique (Renew)","GARCÍA MUÑOZ Isabel (S&D), KUMPULA-NATRI Miapetra (S&D), PETERSEN Morten (Renew), TOUSSAINT Marie (Greens/EFA), CUFFE Ciarán (Greens/EFA), ZĪLE Roberts (ECR), KLOC Izabela-Helena (ECR), BORCHIA Paolo (ID), PEREIRA Sandra (GUE/NGL), KOUNTOURA Elena (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1538312
2021/0213(CNS),Energy Taxation Directive,VAN OVERTVELDT Johan (ECR),"MARTUSCIELLO Fulvio (EPP), ECKE Matthias (S&D), POKORNÁ JERMANOVÁ Jaroslava (PfE), KULMUNI Katri (Renew), PETER-HANSEN Kira Marie (Greens/EFA), TRIDICO Pasquale (The Left), ZAJĄCZKOWSKA-HERNIK Ewa (ESN)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1670371
2024/0146(NLE),EU/Euratom Agreement on the interpretation and application of the Energy Charter Treaty: adoption by Euratom,BUDKA Borys (EPP),"NICA Dan (S&D), SZYDŁO Beata (ECR), VEDRENNE Marie-Pierre (Renew), BLOSS Michael (Greens/EFA), MESURE Marina (The Left), SYPNIEWSKI Marcin (ESN)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1786291
2023/0273(NLE),Energy Charter Treaty: withdrawal of the Union,"CAVAZZINI Anna (Greens/EFA), BOTENGA Marc (The Left)","CARVALHO Maria da Graça (EPP), HÜBNER Danuta Maria (EPP), GEIER Jens (S&D), RODRÍGUEZ-PIÑERO Inma (S&D), GRUDLER Christophe (Renew), VEDRENNE Marie-Pierre (Renew), NIINISTÖ Ville (Greens/EFA), KRASNODĘBSKI Zdzisław (ECR), BOURGEOIS Geert (ECR), MAUREL Emmanuel (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1750868
2023/2115(INI),Gender aspects of the rising cost of living and the impact of the energy crisis,KUHNKE Alice (Greens/EFA),"ADINOLFI Isabella (EPP), GÁLVEZ Lina (S&D), SOLÍS PÉREZ Susana (Renew), MOŻDŻANOWSKA Andżelika Anna (ECR), PEREIRA Sandra (The Left)",
2023/2111(INI),Geothermal energy,KRASNODĘBSKI Zdzisław (ECR),"WEISS-EHLER Pernille (EPP), FUGLSANG Niels (S&D), PETERSEN Morten (Renew), NIINISTÖ Ville (Greens/EFA), BORCHIA Paolo (ID), MESURE Marina (The Left)",
2023/2109(INI),Small modular reactors,BOGOVIČ Franc (EPP),"BERGKVIST Erik (S&D), GROŠELJ Klemen (Renew), CARÊME Damien (Greens/EFA), ROOS Robert (ECR), BORCHIA Paolo (ID)",
2023/2073(INI),EU development cooperation in support of access to energy in developing countries,ROOSE Caroline (Greens/EFA),"STAVROU Eleni (EPP), GONZÁLEZ Mónica Silvana (S&D), CHABAUD Catherine (Renew), KEMPA Beata (ECR), URBÁN CRESPO Miguel (The Left)",
2021/2077(INI),Implementation of the Energy Performance of Buildings Directive,KELLY Seán (EPP),"FUGLSANG Niels (S&D), DANTI Nicola (Renew), EVI Eleonora (Greens/EFA), SZYDŁO Beata (ECR), BORCHIA Paolo (ID), MATIAS Marisa (The Left)",
2021/2012(INI),A European strategy for offshore renewable energy,PETERSEN Morten (Renew),"WEISS-EHLER Pernille (EPP), FUGLSANG Niels (S&D), PAULUS Jutta (Greens/EFA), TOBISZOWSKI Grzegorz (ECR), BUCHHEIT Markus (ID)",
2020/2070(INI),Maximising the energy efficiency potential of the EU building stock,CUFFE Ciarán (Greens/EFA),"WEISS-EHLER Pernille (EPP), KUMPULA-NATRI Miapetra (S&D), MIHAYLOVA Iskra (Renew), ROOS Robert (ECR), TOVAGLIERI Isabella (ID)",
2020/2058(INI),Sustainable Europe Investment Plan - How to finance the Green Deal,TANG Paul (S&D),"LARROUTUROU Pierre (S&D), ARMAND Clotilde (Renew), URTASUN Ernest (Greens/EFA), GRANT Valentino (ID), BECK Gunnar (ID), AUBRY Manon (GUE/NGL)",
2019/2189(INI),A comprehensive European approach to energy storage,GAMON Claudia (Renew),"SPYRAKI Maria (EPP), FUGLSANG Niels (S&D), NIINISTÖ Ville (Greens/EFA), KRASNODĘBSKI Zdzisław (ECR), LIMMER Sylvia (ID), GEORGIOU Giorgos (GUE/NGL)",
2019/2158(INI),The impact on the fishing sector of offshore windfarms and other renewable energy systems,VAN DALEN Peter (EPP),"FERRANDINO Giuseppe (S&D), GADE Søren (Renew), O'SULLIVAN Grace (Greens/EFA), RUISSEN Bert-Jan (ECR), GRANT Valentino (ID)",
2023/3007(DEA),Union list of projects of common interest and projects of mutual interest,"MEBAREK Nora (S&D), TOUSSAINT Marie (Greens/EFA), ERNST Cornelia (The Left), MATIAS Marisa (The Left), MESURE Marina (The Left)",,
2020/2917(RPS),"Decision to raise no objections to the draft Commission regulation amending Regulations (EU) 2019/424, (EU) 2019/1781, (EU) 2019/2019, (EU) 2019/2020, (EU) 2019/2021, (EU) 2019/2022, (EU) 2019/2023 and (EU) 2019/2024 with regard to ecodesign requirements for servers and data storage products, electric motors and variable speed drives, refrigerating appliances, light sources and separate control gears, electronic displays, household dishwashers, household washing machines and household washer-dryers and refrigerating appliances with a direct sales function",CANFIN Pascal (Renew),,
