document_id,title,rapporteurs,shadow_rapporteurs,summary_link
2020/0054(COD),Specific measures to provide exceptional flexibility for the use of the European Structural and Investments Funds in response to the COVID-19 outbreak,OMARJEE Younous (GUE/NGL),,
2020/0043(COD),Specific measures to mobilise investments in the health care systems of the Member States and in other sectors of their economies in response to the COVID-19 outbreak (Coronavirus Response Investment Initiative),OMARJEE Younous (GUE/NGL),,
2019/0272(COD),Multiannual management plan for bluefin tuna in the eastern Atlantic and the Mediterranean,AGUILERA Clara (S&D),"MATO Gabriel (EPP), BILBAO BARANDICA Izaskun (Renew), ROOSE Caroline (Greens/EFA), STANCANELLI Raffaele (ECR), TARDINO Annalisa (ID), HAZEKAMP Anja (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1600279
2019/0246(COD),"Introduction of capacity limits for Eastern Baltic cod, data collection and control measures in the Baltic Sea and permanent cessation for fleets fishing for Eastern Baltic cod",HERBST Niclas (EPP),"HRISTOV Ivo (S&D), GADE Søren (Renew), KELLER Ska (Greens/EFA), RAFALSKA Elżbieta (ECR), HAZEKAMP Anja (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1597421
2019/0187(COD),Fishing authorisations for Union vessels in United Kingdom waters and fishing operations of United Kingdom fishing vessels in Union waters,DAVIES Chris (Renew),,
2018/0210(COD),European Maritime and Fisheries Fund 2021–2027,MATO Gabriel (EPP),"PIZARRO Manuel (S&D), KARLESKIND Pierre (Renew), GUERREIRO Francisco (Greens/EFA), CONTE Rosanna (ID)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1539230
2018/0196(COD),"Common provisions on European Regional Development Fund, European Social Fund Plus, Cohesion Fund, and European Maritime and Fisheries Fund and financial rules for those and for Asylum and Migration Fund, Internal Security Fund and Border Management and Visa Instrument 2021–2027","NOVAKOV Andrey (EPP), KREHL Constanze (S&D)","KNOTEK Ondřej (Renew), NIENASS Niklas (Greens/EFA), KLOC Izabela-Helena (ECR), DONATO Francesca (ID)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1536130
2018/0193(COD),Fisheries control,AGUILERA Clara (S&D),"MILLÁN MON Francisco José (EPP), BILBAO BARANDICA Izaskun (Renew), O'SULLIVAN Grace (Greens/EFA), RUISSEN Bert-Jan (ECR), CONTE Rosanna (ID)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1536242
2024/0159(NLE),EC/Guinea-Bissau Fisheries Partnership Agreement. Implementing Protocol (2024-2029),SARGIACOMO Eric (S&D),"DO NASCIMENTO CABRAL Paulo (EPP), TÂNGER CORRÊA António (PfE), MILAZZO Giuseppe (ECR), AGIRREGOITIA MARTÍNEZ Oihane (Renew), CAMARA Mélissa (Greens/EFA), FOURREAU Emma (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1786172
2024/0133(NLE),EC/Cabo Verde Fisheries Partnership Agreement. Implementing Protocol (2024-2029),DO NASCIMENTO CABRAL Paulo (EPP),"GONZÁLEZ CASARES Nicolás (S&D), TÂNGER CORRÊA António (PfE), MILAZZO Giuseppe (ECR), AGIRREGOITIA MARTÍNEZ Oihane (Renew), CAMARA Mélissa (Greens/EFA), HAZEKAMP Anja (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1785226
2024/0048(NLE),EC/Pacific States Interim Partnership Agreement: accession of Tonga,JOŃSKI Dariusz (EPP),"ASSIS Francisco (S&D), FRAGKOS Emmanouil (ECR), COWEN Barry (Renew), KENNES Rudi (The Left), AUST René (ESN)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1778286
2024/0010(NLE),EC/Pacific States Interim Partnership Agreement: accession of Niue,JOŃSKI Dariusz (EPP),"ASSIS Francisco (S&D), FRAGKOS Emmanouil (ECR), COWEN Barry (Renew), KENNES Rudi (The Left), AUST René (ESN)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1772967
